,Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,City name,Latitude,Longitude
3,Assaults,108,115,88,132,95,118,91,122,119,135,136,167,154,150,Salina,38.8403,97.6114
4,Burglaries,365,305,436,395,420,446,325,236,262,295,284,262,214,155,Salina,38.8403,97.6114
5,Thefts,2302,2097,2144,1803,1779,1813,1524,1503,1428,1413,1369,1336,1409,1044,Salina,38.8403,97.6114
6,Auto thefts,100,89,100,91,75,107,116,96,99,131,112,130,133,111,Salina,38.8403,97.6114
7,Arson,20,23,23,39,32,23,15,9,18,19,29,26,9,15,Salina,38.8403,97.6114
8,Crime Index,408.3,387.1,395.4,349.1,361.9,338.9,323.3,320.8,321.4,328.5,333.7,336.5,333.5,270.9,Salina,38.8403,97.6114
0,Murders,0,2,1,4,1,0,2,0,2,1,0,3,1,0,Shawnee,39.0228,94.7152
1,Rapes,9,7,18,21,17,11,15,24,19,23,21,26,7,24,Shawnee,39.0228,94.7152
2,Robberies,21,14,23,22,15,12,17,14,19,10,14,14,10,15,Shawnee,39.0228,94.7152
3,Assaults,97,73,64,71,75,62,53,68,82,103,84,123,126,152,Shawnee,39.0228,94.7152
4,Burglaries,165,184,177,224,159,152,171,181,165,132,114,137,97,142,Shawnee,39.0228,94.7152
5,Thefts,937,914,927,875,950,769,763,763,926,905,842,796,668,796,Shawnee,39.0228,94.7152
6,Auto thefts,206,150,98,123,130,139,157,123,155,146,138,149,118,192,Shawnee,39.0228,94.7152
7,Arson,18,24,21,11,12,11,8,7,12,6,9,8,7,8,Shawnee,39.0228,94.7152
8,Crime Index,161.5,146,149.4,170.6,151.2,121.7,135.4,138.9,156.9,154.1,137.8,165.1,118.8,168,Shawnee,39.0228,94.7152
0,Murders,12,10,10,12,14,15,11,6,11,17,27,14,13,1,Topeka,39.0473,95.6752
1,Rapes,47,35,44,51,53,39,33,66,93,54,56,84,74,3,Topeka,39.0473,95.6752
2,Robberies,308,275,301,222,235,237,172,198,228,248,269,254,243,3,Topeka,39.0473,95.6752
3,Assaults,352,289,360,410,395,481,396,381,388,392,425,414,565,9,Topeka,39.0473,95.6752
4,Burglaries,1424,1561,1663,1598,1727,1277,1238,1007,1176,1114,1001,973,905,9,Topeka,39.0473,95.6752
5,Thefts,5646,5067,4632,5404,5213,4967,4679,4672,4876,5227,4725,4851,4404,49,Topeka,39.0473,95.6752
6,Auto thefts,704,688,407,504,589,597,569,581,549,807,768,736,962,7,Topeka,39.0473,95.6752
7,Arson,10,10,9,14,6,7,7,5,12,1,11,7,3,1,Topeka,39.0473,95.6752
8,Crime Index,497.4,453.1,446.9,456.4,464.9,438,389.5,395,443.5,457.4,462,455.1,467.6,8.2,Topeka,39.0473,95.6752
0,Murders,40,30,25,16,25,23,15,21,27,31,35,35,35,45,Wichita,37.6872,97.3301
1,Rapes,278,282,262,251,245,242,250,243,360,327,406,407,387,353,Wichita,37.6872,97.3301
2,Robberies,557,482,527,481,490,496,467,496,733,653,599,571,460,442,Wichita,37.6872,97.3301
3,Assaults,2516,2303,2441,2290,2203,2135,2337,2179,2734,3152,2987,3653,3611,4032,Wichita,37.6872,97.3301
4,Burglaries,4362,4081,4054,4248,4017,3949,3941,3264,3489,3470,3296,3420,2674,2427,Wichita,37.6872,97.3301
5,Thefts,14296,14132,13928,12515,13615,15466,14930,13006,14178,15417,15943,15988,15937,13321,Wichita,37.6872,97.3301
6,Auto thefts,2139,1865,1674,1537,1908,1832,1989,2031,2052,2202,2492,2785,2318,2072,Wichita,37.6872,97.3301
7,Arson,189,187,180,129,139,134,113,120,129,136,100,139,127,132,Wichita,37.6872,97.3301
8,Crime Index,564.1,521.5,511.6,459.2,470.9,480.6,483.8,447,534.7,558.4,572.7,612.5,576.8,557.9,Wichita,37.6872,97.3301
