ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
3,"Asian Alone",0,"Not Hispanic or Latino",2019,"2019",339,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6283,0.05223210574445091
3,"Asian Alone",1,"Hispanic or Latino",2019,"2019",52,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",64,0.0005320475517499376
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2019,"2019",15.000000000000002,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",10,0.00008313242996092776
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2019,"2019",17,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",14,0.00011638540194529887
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2019,"2019",99,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",164,0.0013633718513592153
5,"Some Other Race Alone",1,"Hispanic or Latino",2019,"2019",291,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1108,0.009211073239670796
6,"Two or More Races",0,"Not Hispanic or Latino",2019,"2019",570.6881810586234,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4377,0.03638706459389808
6,"Two or More Races",1,"Hispanic or Latino",2019,"2019",322.92568804602706,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",876,0.007282400864577271
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",139,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",93868,0.7866978435957391
0,"White Alone",1,"Hispanic or Latino",2018,"2018",441,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4610,0.038635925544129604
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",421,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",4841,0.04057191226879206
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",135,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",206,0.001726464351863492
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",244,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",2565,0.021496995449174064
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",221.00000000000003,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",370,0.0031009311174247187
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",347,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",6198,0.051944786664320015
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",40,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",31,0.0002598077422707197
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",15.000000000000002,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",10,0.000083808949119587
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",21,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",17,0.0001424752135032979
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",130,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",146,0.00122361065714597
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",331,"Lawrence, KS","31000US29940","lawrence-ks-31000US29940",1191,0.00998164584014281
