ID Gender,Gender,ID IPEDS Race,IPEDS Race,ID Year,Year,Completions,Geography,ID Geography,Slug Geography
1,"Men","multiracial","Two or More Races",2018,"2018",121,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2018,"2018",101,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2018,"2018",263,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2018,"2018",50,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2018,"2018",2399,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2018,"2018",150,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2018,"2018",164,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2018,"2018",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2018,"2018",216,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2018,"2018",180,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2018,"2018",138,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2018,"2018",239,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2018,"2018",51,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2018,"2018",3188,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2017,"2017",141,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2017,"2017",117,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2017,"2017",1,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2017,"2017",164,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2017,"2017",131,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2017,"2017",107,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2017,"2017",285,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2017,"2017",47,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2017,"2017",2323,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2017,"2017",163,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2017,"2017",133,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2017,"2017",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2017,"2017",234,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2017,"2017",188,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2017,"2017",138,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2017,"2017",245,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2017,"2017",58,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2017,"2017",2977,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2016,"2016",151,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2016,"2016",109,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2016,"2016",4,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2016,"2016",157,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2016,"2016",109,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2016,"2016",104,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2016,"2016",298,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2016,"2016",70,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2016,"2016",2350,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2016,"2016",141,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2016,"2016",124,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2016,"2016",2,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2016,"2016",222,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2016,"2016",144,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2016,"2016",131,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2016,"2016",202,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2016,"2016",68,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2016,"2016",2875,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2015,"2015",126,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2015,"2015",111,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2015,"2015",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2015,"2015",134,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2015,"2015",81,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2015,"2015",96,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2015,"2015",282,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2015,"2015",63,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2015,"2015",2341,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2015,"2015",119,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2015,"2015",126,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2015,"2015",4,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2015,"2015",192,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2015,"2015",134,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2015,"2015",129,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2015,"2015",218,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2015,"2015",75,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2015,"2015",2769,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2014,"2014",120,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2014,"2014",120,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2014,"2014",4,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2014,"2014",142,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2014,"2014",91,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","native","American Indian or Alaska Native",2014,"2014",87,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","nonresident","Non-resident Alien",2014,"2014",281,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","unknown","Unknown",2014,"2014",50,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","white","White",2014,"2014",2404,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","asian","Asian",2014,"2014",158,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","black","Black or African American",2014,"2014",108,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hawaiian","Native Hawaiian or Other Pacific Islanders",2014,"2014",0,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","hispanic","Hispanic or Latino",2014,"2014",191,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","multiracial","Two or More Races",2014,"2014",106,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","native","American Indian or Alaska Native",2014,"2014",121,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","nonresident","Non-resident Alien",2014,"2014",273,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","unknown","Unknown",2014,"2014",48,"Lawrence, KS","16000US2038900","lawrence-ks"
2,"Women","white","White",2014,"2014",2842,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","asian","Asian",2013,"2013",126,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","black","Black or African American",2013,"2013",95,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hawaiian","Native Hawaiian or Other Pacific Islanders",2013,"2013",2,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","hispanic","Hispanic or Latino",2013,"2013",137,"Lawrence, KS","16000US2038900","lawrence-ks"
1,"Men","multiracial","Two or More Races",2013,"2013",74,"Lawrence, KS","16000US2038900","lawrence-ks"
